{{1, 2, 3, 4}, Null, NOT_PRIME}
{{1, 2, 4, 3}, Null, NOT_PRIME}
{{1, 3, 2, 4}, Null, NOT_PRIME}
{{1, 3, 4, 2}, Null, NOT_PRIME}
{{1, 4, 2, 3}, Null, NOT_PRIME}
{{1, 4, 3, 2}, Null, NOT_PRIME}
{{2, 1, 3, 4}, {1, 2, 4, 3}, INDEX_SHIFT}
{{2, 1, 4, 3}, {1, 4, 3, 2}, INDEX_SHIFT}
{{2, 3, 1, 4}, Null, NOT_PRIME}
{{2, 4, 1, 3}, {1, 3, 4, 2}, INDEX_SHIFT}
{{2, 4, 3, 1}, {1, 3, 4, 2}, INDEX_SHIFT}
{{3, 1, 2, 4}, {1, 2, 4, 3}, INDEX_SHIFT}
{{3, 1, 4, 2}, {1, 3, 4, 2}, INDEX_SHIFT}
{{3, 2, 1, 4}, {1, 4, 3, 2}, INDEX_SHIFT}
{{3, 2, 4, 1}, {1, 3, 4, 2}, INDEX_SHIFT}
{{3, 4, 1, 2}, {2, 3, 4, 1}, INDEX_SHIFT}
{{3, 4, 2, 1}, {1, 3, 4, 2}, INDEX_SHIFT}
{{4, 1, 2, 3}, {1, 2, 3, 4}, INDEX_SHIFT}
{{4, 1, 3, 2}, {1, 2, 4, 3}, INDEX_SHIFT}
{{4, 2, 1, 3}, {1, 2, 4, 3}, INDEX_SHIFT}
{{4, 2, 3, 1}, {1, 2, 4, 3}, INDEX_SHIFT}
{{4, 3, 1, 2}, {1, 3, 4, 2}, INDEX_SHIFT}
{{4, 3, 2, 1}, {1, 4, 3, 2}, INDEX_SHIFT}
