{{1, 2, 3, 4, 5}, Null, NOT_PRIME}
{{1, 2, 3, 5, 4}, Null, NOT_PRIME}
{{1, 2, 4, 3, 5}, Null, NOT_PRIME}
{{1, 2, 4, 5, 3}, Null, NOT_PRIME}
{{1, 2, 5, 3, 4}, Null, NOT_PRIME}
{{1, 2, 5, 4, 3}, Null, NOT_PRIME}
{{1, 3, 2, 4, 5}, Null, NOT_PRIME}
{{1, 3, 2, 5, 4}, Null, NOT_PRIME}
{{1, 3, 4, 2, 5}, Null, NOT_PRIME}
{{1, 3, 4, 5, 2}, Null, NOT_PRIME}
{{1, 3, 5, 2, 4}, Null, NOT_PRIME}
{{1, 3, 5, 4, 2}, Null, NOT_PRIME}
{{1, 4, 2, 3, 5}, Null, NOT_PRIME}
{{1, 4, 2, 5, 3}, Null, NOT_PRIME}
{{1, 4, 3, 2, 5}, Null, NOT_PRIME}
{{1, 4, 3, 5, 2}, Null, NOT_PRIME}
{{1, 4, 5, 2, 3}, Null, NOT_PRIME}
{{1, 4, 5, 3, 2}, Null, NOT_PRIME}
{{1, 5, 2, 3, 4}, Null, NOT_PRIME}
{{1, 5, 2, 4, 3}, Null, NOT_PRIME}
{{1, 5, 3, 2, 4}, Null, NOT_PRIME}
{{1, 5, 3, 4, 2}, Null, NOT_PRIME}
{{1, 5, 4, 2, 3}, Null, NOT_PRIME}
{{1, 5, 4, 3, 2}, Null, NOT_PRIME}
{{2, 1, 3, 4, 5}, {1, 2, 3, 5, 4}, INDEX_SHIFT}
{{2, 1, 3, 5, 4}, {1, 3, 2, 5, 4}, INDEX_SHIFT}
{{2, 1, 4, 3, 5}, {1, 3, 2, 5, 4}, INDEX_SHIFT}
{{2, 1, 4, 5, 3}, {1, 5, 4, 2, 3}, INDEX_SHIFT}
{{2, 1, 5, 3, 4}, {1, 2, 5, 4, 3}, INDEX_SHIFT}
{{2, 1, 5, 4, 3}, {1, 5, 4, 3, 2}, INDEX_SHIFT}
{{2, 3, 1, 4, 5}, Null, NOT_PRIME}
{{2, 3, 1, 5, 4}, Null, NOT_PRIME}
{{2, 3, 4, 1, 5}, Null, NOT_PRIME}
{{2, 3, 4, 5, 1}, Null, NOT_PLANAR}
{{2, 3, 5, 1, 4}, {1, 4, 5, 2, 3}, INDEX_SHIFT}
{{2, 3, 5, 4, 1}, {1, 3, 4, 5, 2}, INDEX_SHIFT}
{{2, 4, 1, 3, 5}, {1, 3, 5, 2, 4}, INDEX_SHIFT}
{{2, 4, 1, 5, 3}, Null, NOT_PLANAR}
{{2, 4, 3, 1, 5}, {1, 3, 5, 4, 2}, INDEX_SHIFT}
{{2, 4, 3, 5, 1}, {1, 3, 4, 5, 2}, INDEX_SHIFT}
{{2, 4, 5, 3, 1}, {1, 4, 5, 2, 3}, INDEX_SHIFT}
{{2, 5, 1, 3, 4}, {1, 2, 4, 5, 3}, INDEX_SHIFT}
{{2, 5, 1, 4, 3}, {1, 5, 4, 2, 3}, INDEX_SHIFT}
