{{2, -4, -5, -6, -1, -7, -3}, Null, TWOONE_PASS}
{{2, -4, -5, -6, -1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, -6, -1, 7, -3}, Null, TWOONE_PASS}
{{2, -4, -5, -6, -1, 7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, -6, 1, -7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, -6, 1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, -6, 1, 7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, -6, 1, 7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, 6, -1, -7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, 6, -1, -7, 3}, Null, TWOONE_PASS}
{{2, -4, -5, 6, -1, 7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, 6, -1, 7, 3}, Null, TWOONE_PASS}
{{2, -4, -5, 6, 1, -7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, 6, 1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, 6, 1, 7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, -5, 6, 1, 7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, -6, -1, -7, -3}, Null, TWOONE_PASS}
{{2, -4, 5, -6, -1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, -6, -1, 7, -3}, Null, TWOONE_PASS}
{{2, -4, 5, -6, -1, 7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, -6, 1, -7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, -6, 1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, -6, 1, 7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, -6, 1, 7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, 6, -1, -7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, 6, -1, -7, 3}, Null, TWOONE_PASS}
{{2, -4, 5, 6, -1, 7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, 6, -1, 7, 3}, Null, TWOONE_PASS}
{{2, -4, 5, 6, 1, -7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, 6, 1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, 6, 1, 7, -3}, Null, REIDEMEISTER_TWO}
{{2, -4, 5, 6, 1, 7, 3}, Null, REIDEMEISTER_TWO}
{{2, 4, -5, -6, -1, -7, -3}, Null, REIDEMEISTER_TWO}
{{2, 4, -5, -6, -1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, 4, -5, -6, -1, 7, -3}, Null, REIDEMEISTER_TWO}
{{2, 4, -5, -6, -1, 7, 3}, Null, REIDEMEISTER_TWO}
{{2, 4, -5, -6, 1, -7, -3}, Null, TWOONE_PASS}
{{2, 4, -5, -6, 1, -7, 3}, Null, REIDEMEISTER_TWO}
{{2, 4, -5, -6, 1, 7, -3}, Null, TWOONE_PASS}
